Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Weight,Colors
colombia,guayata,others,43,almacafé,2016,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,82.42,0.11,0,0,green,1,1600,1600,1600,70,green
china,yunnan,menglian gao sanlin coffee factory,3,yunnan coffee exchange,2015,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,0.1,0,0,green,0,1600,1600,1600,60,green
brazil,campos altos - cerrado,others,300,brazil specialty coffee association,2016,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,0.11,0,1,green,0,others,others,others,60,green
"tanzania, united republic of",arusha meru,gladness obed pallangyo,10,africa fine coffee association,2015,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,82.42,0.13,0,0,green,7,2285,2285,2285,60,green
brazil,south of minas,ipanema agrícola sa,320,brazil specialty coffee association,2015,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,0,0,0,green,0,1,1,1,2,green
guatemala,atitlan,unex,250,specialty coffee association of costa rica,2013,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42,0.1,0,0,green,0,1400,1400,1400,1,green
mexico,la yerba,avelino chavez reyna,10,amecafe,2014,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42,0.11,0,0,green,0,1296,1296,1296,1,green
brazil,south of minas,betina vilela reis,39,nucoffee,2012,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,0.12,0,0,bluish-green,1,1000,1000,1000,60,bluish-green
peru,peru,others,320,specialty coffee association,2013,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,7.5,82.42,0,0,0,green,3,others,others,others,5,green
brazil,south of minas,ipanema coffees,220,specialty coffee association,2013,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42,0,0,0,green,0,1260,1260,1260,60,green
mexico,veracruz,manuel herrera juarez,10,amecafe,2013,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42,0.12,0,0,green,0,1170,1170,1170,1,green
honduras,others,others,1,specialty coffee association,2012,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,82.42,0.09,0,0,others,2,others,others,others,2,bluish-green
colombia,huila,others,250,almacafé,2013,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42,0.11,0,0,green,9,1600,1950,1775,70,green
mexico,chiapas,emperatriz garcia muñoz,49,amecafe,2013,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42,0.12,0,0,green,5,1560,1560,1560,1,green
mexico,san pedro cotzilnam,victor manuel lopez vazquez,20,amecafe,2012,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,0.13,0,0,green,2,1400,1400,1400,1,green
mexico,coatepec,gibran leonardo cervantes covarrubias,35,amecafe,2012,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,0.14,0,0,green,9,1300,1300,1300,1,green
mexico,xalapa,manuel herrera juarez,10,amecafe,2012,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,0.13,0,0,green,1,1170,1170,1170,1,green
mexico,zihuatanejo de azueta,dario francisco galeana solis,74,amecafe,2012,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,0.11,0,0,green,0,1300,1300,1300,1,green
mexico,veracruz,jose daniel cobilt castro,26,amecafe,2012,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,0.14,0,0,green,6,1350,1350,1350,1,green
mexico,xicotepec de juarez,"alvaro quiros perez, miguel quiroz perez",10,amecafe,2012,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,0.11,0,0,green,0,1150,1150,1150,1,green
mexico,progreso santa rosa teocelo,olivia hernandez virves,1,amecafe,2012,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,0.13,0,0,others,4,1250,1250,1250,1,bluish-green
mexico,fln mirador,robin cleaver,10,amecafe,2012,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,0.12,0,0,bluish-green,0,1450,1450,1450,1,bluish-green
colombia,huila,jaime pulido / albino mahecha / freddy mendez,250,almacafé,2012,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,0,0,0,others,2,442,442,442,70,bluish-green
brazil,south of minas,glycia maria,51,nucoffee,2012,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42,0.11,0,0,bluish-green,2,others,others,others,60,bluish-green
colombia,huila,others,250,almacafé,2011,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42,0,0,0,green,2,1750,1750,1750,70,green
colombia,huila,others,0,almacafé,3t,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42,0.02,0,0,others,1,1750,1750,1750,70,bluish-green
honduras,comayagua,reinerio zepeda,275,instituto hondureño del café,2017,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,0.1,0,1,green,8,1396,1396,1396,69,green
brazil,cerrado,tulio taft bovaretto,320,brazil specialty coffee association,2016,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,0,3,green,11,982,982,982,2,green
brazil,cerrado,others,305,brazil specialty coffee association,2016,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,0.11,0,4,green,14,others,others,others,59,green
brazil,south of minas,ipanema agricola,320,brazil specialty coffee association,2016,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,0.11,0,2,bluish-green,3,934,934,934,60,bluish-green
costa rica,tarrazu,martin gutierrez,100,specialty coffee association of costa rica,2015,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,0.1,6,1,bluish-green,3,1850,1850,1850,69,bluish-green
costa rica,tarrazu,johanna,130,specialty coffee association of costa rica,2015,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,0,0,2,green,0,1550,1550,1550,69,green
china,xishuangbanna prefecture,yun lan coffee co. ltd,3,yunnan coffee exchange,2015,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,0.12,0,6,green,2,1580,1580,1580,60,green
brazil,south of minas,ipanema agrícola sa,12,specialty coffee association,2015,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,0.07,0,0,green,0,1268,1268,1268,2,green
brazil,chapadão de ferro (cerrado mineiro),others,300,brazil specialty coffee association,2015,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33,0.11,0,0,green,10,others,others,others,60,green
guatemala,huehuetenango,amancio del valle carrillo,275,asociacion nacional del café,2015,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,0.1,0,0,green,6,1676.4,1676.4,1676.4,69,green
malawi,mzuzu,mzuzu coffee planters coop union,10,africa fine coffee association,2014,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,0.12,0,0,green,0,1450,1450,1450,60,green
brazil,south of minas,ipanema agrícola sa,10,specialty coffee association,2014,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,0,0,bluish-green,0,1100,1100,1100,2,bluish-green
guatemala,jalapa,roberto monterroso,250,asociacion nacional del café,2014,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,0.12,0,0,green,3,1524,1524,1524,69,green
mexico,veracruz,huatusco,320,specialty coffee association,2014,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,82.33,0.11,0,0,green,0,others,others,others,5,green
colombia,antioquia,several,250,specialty coffee association of costa rica,2013,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,0.1,0,0,green,2,1300,1300,1300,3,green
taiwan,changhua baguashan 彰化市八卦山,zhang shui sheng 張水勝,10,blossom valley international,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,0,0,green,0,200,200,200,20,green
taiwan,taichung xinshe 台中市新社區,lin yu ding 林玉定,10,blossom valley international,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,0,0,green,0,600,600,600,30,green
guatemala,oriente,roberto monterroso,250,asociacion nacional del café,2013,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,0.12,2,0,green,1,1310.64,1310.64,1310.64,69,green
colombia,huila,others,250,almacafé,2013,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,0,0,0,green,1,1750,1750,1750,70,green
mexico,"la concordia, chiapas",agroindustrias unidas de mexico sa de cv,250,amecafe,2013,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,0.12,0,0,green,3,1300,1300,1300,1,green
costa rica,central valley,others,275,specialty coffee association,2012,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,82.33,0,0,0,green,14,others,others,others,1,green
guatemala,jalapa,"cafe molino monterroso p,j. roberto",275,asociacion nacional del café,2012,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,0.11,0,0,green,3,1676.4,1828.8,1752.6,69,green
mexico,"jaltocan, hidalgo","salazar hernandez, roberto",10,amecafe,2012,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,0.15,1,0,others,8,441,441,441,1,bluish-green
mexico,veracruz,manuel herrera juarez,10,amecafe,2012,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,0.13,0,0,green,9,1170,1170,1170,1,green
guatemala,oriente,agropecuaria quiagral,250,asociacion nacional del café,2012,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,0.1,2,0,green,5,1310.64,1310.64,1310.64,1,green
brazil,grama valley,josé malagutti,16,nucoffee,2012,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,0.12,0,0,green,2,1100,1100,1100,60,green
mexico,santa catarina juquila,maria luisa delcarmen rojas narvaez,10,amecafe,2012,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,0.11,0,0,green,0,1200,1400,1300,1,green
brazil,south of minas,josé alberto dos santos,44,nucoffee,2012,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,0.11,0,0,green,2,950,950,950,60,green
colombia,huila,jaime pulido / ermilson ramos,250,almacafé,2012,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,0,0,0,green,0,442,442,442,70,green
brazil,brazil matas de minas,nagipe viana klem,1062,specialty coffee association,others,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,2,6,green,10,1100,1100,1100,5,green
taiwan,others,林玲美0918232039        ,1,blossom valley international,2016,7,7.08,7,7.17,7,7,10,10,10,10,82.25,0.1,0,0,bluish-green,0,others,others,others,10,bluish-green
guatemala,nuevo oriente,pablo chuy,275,asociacion nacional del café,2016,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,0.11,0,2,green,2,1450,1450,1450,69,green
brazil,south of minas,ipanema agrícola sa,180,brazil specialty coffee association,2015,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,0,0,0,green,9,1,1,1,2,green
el salvador,apaneca,"tropical farm management el salvador, s.a. de c.v.",275,salvadoran coffee council,2014,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,0.12,0,0,green,0,1500,1500,1500,1,green
honduras,marcala,omar acosta,275,instituto hondureño del café,2015,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25,0.11,0,0,green,2,1350,1350,1350,1,green
malawi,mzuzu,mzuzu coffee coop union,10,africa fine coffee association,2014,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82.25,0.13,0,0,bluish-green,0,1180,1180,1180,60,bluish-green
brazil,south of minas,ipanema agrícola sa,320,specialty coffee association,2014,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,0.11,0,0,green,0,1100,1100,1100,2,green
taiwan,nantou,lin yu tang 林玉堂,35,blossom valley international,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82.25,0.11,0,0,green,0,650,650,650,60,green
mexico,veracruz,maria del rosario irais valdivia ortiz,150,amecafe,2013,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25,0.12,0,0,bluish-green,4,1338,1338,1338,1,bluish-green
united states (hawaii),kona,others,6,specialty coffee association,2013,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,82.25,0,0,0,bluish-green,1,others,others,others,100,bluish-green
mexico,"calnali, hidalgo",felix de la cruz casimiro,10,amecafe,2012,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25,0.16,3,0,others,8,533,533,533,1,bluish-green
guatemala,antigua,"siembras vision, s.a.",275,asociacion nacional del café,2012,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25,0.11,0,0,green,2,1390.8024,1390.8024,1390.8024,69,green
mexico,veracruz,manuel herrera juarez,10,amecafe,2012,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25,0.13,0,0,green,3,1170,1170,1170,1,green
mexico,juquila,guillermo rojas saldaña,40,amecafe,2012,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82.25,0.12,0,0,green,13,1250,1250,1250,1,green
el salvador,others,others,288,specialty coffee association,2012,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,7.33,82.25,0,2,0,green,5,others,others,others,1,green
mexico,veracruz,sergio de la vequia bernardi,250,amecafe,2012,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82.25,0.11,0,0,green,0,1100,1100,1100,1,green
mexico,canoas,coop,250,amecafe,2012,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82.25,0.1,0,0,green,3,900,900,900,1,green
colombia,huila,others,250,almacafé,2012,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25,0.12,0,0,green,1,1750,1750,1750,70,green
colombia,huila,la plata,100,almacafé,2012,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82.25,0.11,0,0,green,0,1600,1950,1775,70,green
brazil,others,carmem lucia chaves de brito,84,nucoffee,2012,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82.25,0.12,0,0,green,1,others,others,others,60,green
colombia,cauca,others,149,almacafé,others,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,7.75,82.25,0.22,0,0,others,2,others,others,others,70,bluish-green
brazil,south of minas,ipanema agricola,320,brazil specialty coffee association,2016,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17,0.11,0,1,green,5,934,934,934,60,green
honduras,comayagua,nahun maldonado,200,instituto hondureño del café,2015,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82.17,0.11,0,1,bluish-green,2,1500,1500,1500,69,bluish-green
nicaragua,jinotega,marcio alberto rivera castellon,275,instituto hondureño del café,others,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,0.1,0,0,green,1,1000,1000,1000,69,green
"tanzania, united republic of",ruvuma,langiro farm group,30,africa fine coffee association,2015,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82.17,0.13,1,0,green,6,1500,1800,1650,80,green
"tanzania, united republic of",northern,others,300,tanzanian coffee board,2015,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82.17,0.12,0,0,green,1,1600,1600,1600,60,green
brazil,south of minas,ipanema agrícola sa,320,brazil specialty coffee association,2015,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,0,0,0,green,1,1,1,1,2,green
thailand,thailand,doi tung development project,1,specialty coffee association,2014,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82.17,0.12,0,0,bluish-green,0,800,800,800,1,bluish-green
honduras,marcala,omar acosta,275,instituto hondureño del café,2015,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82.17,0.11,0,0,green,2,1350,1350,1350,1,green
guatemala,atitlan,others,250,blossom valley international,2014,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,82.17,0.09,0,0,bluish-green,4,1500,1500,1500,69,bluish-green
brazil,cerrado,others,300,brazil specialty coffee association,2014,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,82.17,0.12,0,0,green,1,others,others,others,60,green
"tanzania, united republic of","ilomba vilage, mbozi",tembo coffee company ltd,10,africa fine coffee association,2014,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,82.17,0.12,0,0,green,1,1700,1700,1700,60,green
mexico,veracruz,josé luis andrade sandara,200,amecafe,2013,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82.17,0.12,0,0,green,0,1100,1100,1100,1,green
mexico,"la concordia, chiapas",union ramal santa cruz,2,specialty coffee association,2013,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,0.1,1,0,others,1,1200,1600,1400,2,bluish-green
taiwan,yunlin 雲林縣石壁,guo zhang sheng 郭章盛,60,blossom valley international,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,82.17,0.11,0,0,green,0,1200,1200,1200,60,green
taiwan,"dongshan dist., tainan city 臺南市東山區",jufeng-tseng 曾如楓,80,specialty coffee association,2012,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,82.17,0,0,0,green,0,800,800,800,10,green
colombia,huila,others,250,almacafé,2013,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,82.17,0,0,0,bluish-green,1,1750,1750,1750,70,bluish-green
mexico,san bartolo tutotepec,avila martinez adolfo,10,amecafe,2012,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,82.17,0.15,1,0,others,9,1144,1144,1144,1,bluish-green
guatemala,oriente,several producers,250,specialty coffee association,2012,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,82.17,0.12,0,0,others,2,1350,1350,1350,1,bluish-green
mexico,altotonga,salvador caro carrion,200,amecafe,2012,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,82.17,0.12,0,0,green,4,1000,1000,1000,1,green
mexico,colima,"oscar torres ochoca, genaro mata camberos, manuel duarte munguia",60,amecafe,2012,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,82.17,0.1,0,0,green,1,1200,1200,1200,1,green
colombia,huila,others,250,almacafé,2018,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,82.17,0.08,0,0,others,0,1800,1800,1800,70,bluish-green
indonesia,aceh gayo,various farms,2,specialty coffee association of indonesia,2017,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,7.33,82.08,0.15,0,0,others,3,1300,1300,1300,1,bluish-green
colombia,huila,others,275,almacafé,2016,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10,7.58,82.08,0,0,7,green,6,others,others,others,70,green
brazil,south of minas,ipanema agricola,320,brazil specialty coffee association,2016,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,82.08,0.11,0,1,green,3,894,894,894,60,green
brazil,south of minas,ipanema agrícola sa,320,brazil specialty coffee association,2015,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82.08,0,0,0,green,1,1,1,1,2,green
costa rica,tres rios,jose francisco gonzalez,275,specialty coffee association of costa rica,2015,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,82.08,0,0,0,bluish-green,0,1200,1400,1300,350,bluish-green
"tanzania, united republic of",kilimanjaro,ampcg,300,tanzanian coffee board,2014,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,82.08,0.12,0,0,green,5,1500,1500,1500,2,green
"tanzania, united republic of",ngorogoro,ngorogoro convenant estate,1,africa fine coffee association,2014,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,82.08,0.12,0,0,green,3,1500,1700,1600,60,green
colombia,others,others,1,specialty coffee association,2013,7.5,7.42,7.42,7.42,7.67,7.42,10,10,10,7.25,82.08,0.11,1,0,green,0,others,others,others,5,green
costa rica,turrialba,cafetalera aquiares,150,specialty coffee association of costa rica,2013,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,82.08,0.11,0,0,green,2,13,13,13,69,green
united states (hawaii),kona,others,4,specialty coffee association,2012,7.25,7.58,7.58,7.25,7.5,7.42,10,10,10,7.5,82.08,0.11,0,0,bluish-green,0,others,others,others,100,bluish-green
mexico,coatepec,gibran leonardo cervantes covarrubias,35,amecafe,2012,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,82.08,0.13,0,0,green,7,1300,1300,1300,1,green
mexico,tapachula,ismam san isidro labrador s. de s.s.,250,amecafe,2012,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,82.08,0.13,3,0,green,13,1800,1800,1800,1,green
mexico,coatepec,rosa aurora falcon fernandez,15,amecafe,2012,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,82.08,0.11,0,0,green,11,1250,1250,1250,1,green
vietnam,don duong,"apollo co., ltd.",1,specialty coffee association,2012,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,82.08,0.12,0,0,green,2,1040,1040,1040,2,green
mexico,veracruz,ramiro de la vequia bernardi,250,amecafe,2012,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,82.08,0.11,0,0,green,1,1250,1250,1250,1,green
united states (hawaii),kona,others,10,specialty coffee association,2012,7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,7.42,82.08,0.1,0,0,green,2,others,others,others,100,green
colombia,cauca,carlos pechene / jesús pechene / flor chacón,275,almacafé,Jan-11,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,7.17,82.08,0.08,1,0,others,5,1600,1600,1600,70,bluish-green
honduras,el paraíso,santos fonseca,275,instituto hondureño del café,2017,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,82,0.12,0,0,green,1,1600,1600,1600,69,green
honduras,guinope el paraíso,santos fonseca,275,instituto hondureño del café,2016,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,82,0.1,0,1,green,7,1600,1600,1600,69,green
brazil,south of minas,ipanema agricola,230,brazil specialty coffee association,2016,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,82,0.11,0,2,green,3,944,944,944,60,green
"tanzania, united republic of",kilimanjaro,mr & mrs didas mallya,2,africa fine coffee association,2015,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,82,0.13,0,0,green,20,1500,1800,1650,80,green
laos,lao p.d.r.,hanyong choi,1,specialty coffee institute of asia,2015,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,82,0.12,0,0,bluish-green,0,1250,1250,1250,2,bluish-green
"tanzania, united republic of",meru,finca estate,1,africa fine coffee association,2014,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,82,0.12,0,0,green,3,1300,1400,1350,60,green
malawi,mzuzu,mzuzu coffee coop union,16,africa fine coffee association,2014,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,82,0.13,0,0,bluish-green,1,2500,2500,2500,60,bluish-green
taiwan,"dongshan dist., tainan city 臺南市東山區",chen jin lin 陳金璘,50,specialty coffee association,2013,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,82,0.09,0,0,green,0,600,600,600,20,green
thailand,thailand,doi tung development project,1,specialty coffee association,2013,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,82,0.11,0,0,green,0,800,800,800,1,green
costa rica,central valley,varios,250,specialty coffee association of costa rica,2013,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,82,0.1,0,0,green,4,1200,1400,1300,1,green
honduras,occidental,bsr,275,instituto hondureño del café,2014,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,82,0.11,0,0,green,5,1400,1400,1400,69,green
colombia,huila,others,250,almacafé,2013,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,82,0.11,0,0,green,1,1800,2000,1900,70,green
taiwan,"dongshan dist., tainan city 臺南市東山區","lin huang, a-mien 黃阿綿",30,specialty coffee association,2012,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,82,0.12,0,0,bluish-green,0,600,700,650,10,bluish-green
brazil,"minas gerais, br",café do paraíso,1,specialty coffee association,2012,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,82,0.11,0,0,bluish-green,0,894,1183,1038.5,2,bluish-green
mexico,coscomatepec,jorge octavio escamilla prado,15,amecafe,2012,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,82,0.12,0,0,green,1,940,940,940,1,green
brazil,south of minas,vander bonaccorsi,50,nucoffee,2012,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,82,0.12,0,0,green,1,1000,1000,1000,60,green
brazil,cerrado,josé hiroiti,75,nucoffee,2012,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,82,0.11,0,0,bluish-green,1,1050,1050,1050,60,bluish-green
guatemala,san marcos,paul stauder,250,asociacion nacional del café,2012,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,82,0.11,0,0,green,3,others,others,others,1,green
brazil,south of minas,maria da gloria junqueira,53,nucoffee,2012,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,82,0.12,0,0,green,2,950,950,950,60,green
guatemala,oriente,conquista/morito,250,specialty coffee association,2012,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,82,0,0,0,green,10,1402.08,1402.08,1402.08,2,green
colombia,huila,"grupo monserrate, la plata",150,almacafé,mayo a julio,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,82,0.07,0,0,others,2,1600,1950,1775,70,bluish-green
guatemala,oriente,"agricola el pilar, s.a.",25,asociacion nacional del café,2017,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,81.92,0.1,0,0,green,1,1901,1901,1901,69,green
guatemala,santa rosa,otto becker,50,asociacion nacional del café,2017,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,81.92,0.11,0,2,green,0,1219.2,1219.2,1219.2,69,green
honduras,comayagua,reinerio zepeda,274,instituto hondureño del café,2017,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,81.92,0.12,0,0,green,1,1400,1400,1400,67,green
brazil,monte carmelo,múcio cardoso,305,brazil specialty coffee association,2016,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,81.92,0.11,0,0,green,4,1020,1020,1020,59,green
el salvador,"el balsamo, quezaltepec","comercial exportadora, s.a. de c.v.",275,salvadoran coffee council,2014,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,81.92,0.11,0,0,green,2,1250,1250,1250,69,green
guatemala,nuevo oriente,ovidio cardona,275,asociacion nacional del café,2015,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,81.92,0.11,0,0,green,7,1300,1800,1550,69,green
"tanzania, united republic of",mbeya,mcomafa,114,africa fine coffee association,2014,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,81.92,0.12,0,0,green,4,1877,1877,1877,60,green
